gridEdge;time1;time2;nodes1;nodes2;value1;value2
10;0.045;0.002;0;0;8092.44;8092.44
15;0.123;0.003;0;0;18253.49;18253.49
20;0.074;0.003;0;0;32724.25;32724.25
25;0.132;0.008;0;0;51210.27;51210.27
30;0.117;0.019;0;0;73680.86;73680.86
35;0.196;0.067;0;0;100310.26;100310.26
40;0.446;0.047;0;0;130793.68;130793.68
45;0.354;0.03;0;0;165987.13;165987.13
50;0.275;0.033;0;0;205002.27;205002.27
