nbIndividuals;time;nodes;value;bound
2;0.023;0;117.5802469135801;117.5424855641399
12;0.833;0;28.411178327620892;28.385859881430186
22;3.273;111;13.57249113970181;13.560323989694973
32;2.561;154;3.2171968714687127;3.213850502031565
42;3.509;214;1.2776201763947261;1.2713293814712034
52;40.95;3129;0.32691121071881585;0.32055089138627024
