nbAlleles;time;nodes;value;bound
1;0.007;0;0.0;0.0
2;0.01;0;5.926936864852905e-5;0.0
3;0.041;0;0.7995901932290987;0.7986792689970763
4;0.032;0;3.6002497682200394;3.598922741009461
5;0.032;0;11.644971390600691;11.640764028262995
6;0.04;0;20.177946140778108;20.174697614637648
7;0.043;0;28.717350762835462;28.711487813459527
8;0.048;0;37.95775499010101;37.95169271929001
9;0.053;0;47.26612645737409;47.255319709795
10;0.051;0;56.517067607610265;56.511466625440235
